ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,rs_pct,flow_score,flow_txt,score
098460,고영,KOSDAQ150,28350.00,4.42,30950.00,-8.40,0.57,0.90,249.67,-37.00,4,"50>150일선, 52주고가 75%↑",,,28350.00,,31185.00,,,58.31,50.00,-,53.20
082920,비츠로셀,KOSDAQ150,29450.00,5.18,35550.00,-17.16,0.88,0.70,120.23,-56.56,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,29450.00,,32395.00,,,67.54,50.00,-,53.00
267250,HD현대,KOSPI200,222000.00,1.60,261000.00,-14.94,0.84,0.41,325.31,-33.33,4,"50>150일선, 52주고가 75%↑",,,222000.00,,244200.00,,,53.69,50.00,-,53.00
000880,한화,KOSPI200,137600.00,0.07,144800.00,-4.97,0.58,0.37,309.33,-31.12,4,"50>150일선, 52주고가 75%↑",,,137600.00,,151360.00,,,57.47,50.00,-,53.00
112610,씨에스윈드,KOSPI200,51400.00,-1.72,54500.00,-5.69,0.52,0.16,156.87,-35.26,4,"50>150일선, 52주고가 75%↑",,,51400.00,,56540.00,,,57.05,50.00,-,52.60
166090,하나머티리얼즈,KOSDAQ150,53800.00,1.89,56900.00,-5.45,0.33,0.71,86.72,-38.79,4,"50>150일선, 52주고가 75%↑",,,53800.00,,59180.00,,,59.57,50.00,-,52.50
012750,에스원,KOSPI200,83500.00,0.00,89000.00,-6.18,0.61,0.54,56.19,-18.93,4,"50>150일선, 52주저가 +30%↑",,,83500.00,,91850.00,,,55.37,50.00,-,52.40
204270,제이앤티씨,KOSDAQ150,22500.00,1.81,23850.00,-5.66,1.29,0.33,153.57,-25.25,2,"50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑",,,22500.00,,24750.00,,,73.83,50.00,-,52.30
079550,LIG디펜스앤에어로스페이스,KOSPI200,707000.00,5.84,806000.00,-12.28,1.08,0.67,699.63,-36.76,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,707000.00,,777700.00,,,62.50,50.00,-,52.30
078340,컴투스,KOSDAQ150,33600.00,-0.44,41000.00,-18.05,0.28,0.42,70.40,-20.38,4,"50>150일선, 150>200일선",,,33600.00,,36960.00,,,59.15,50.00,-,52.10
001440,대한전선,KOSPI200,28350.00,0.89,31400.00,-9.71,0.49,0.37,401.78,-62.65,4,"50>150일선, 52주고가 75%↑",,,28350.00,,31185.00,,,55.79,50.00,-,52.00
028260,삼성물산,KOSPI200,355500.00,1.14,401000.00,-11.35,0.37,0.32,1345.98,-37.08,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,355500.00,,391050.00,,,70.06,50.00,-,51.40
