ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,target_pct,atr_pct,rs_pct,flow_score,flow_txt,score,qty,amount
036930,주성엔지니어링,KOSDAQ150,208000.00,2.21,239500.00,-13.15,0.57,0.75,2483.00,-26.50,5,52주고가 75%↑,,"눌림 조건 충족, 변동성 과대(ATR 7.9%)로 제외",208000.00,,237120.00,,,,7.94,98.59,50.00,-,72.40,0,0.00
001450,현대해상,KOSPI200,47450.00,0.00,54700.00,-13.25,0.57,0.47,237.03,-13.25,6,,,,47450.00,,53364.29,,,,4.15,83.52,50.00,-,72.10,0,0.00
240810,원익IPS,KOSDAQ150,133100.00,1.99,134900.00,-1.33,2.19,0.16,1127.52,-29.13,4,"50>150일선, 52주고가 75%↑",,,133100.00,,151734.00,,,,6.61,87.59,50.00,-,71.60,0,0.00
420770,기가비스,KOSDAQ150,123100.00,3.53,122200.00,0.74,0.72,0.78,159.69,-40.24,5,52주고가 75%↑,,,123100.00,,140334.00,,,,6.65,94.11,50.00,-,71.50,0,0.00
395160,KODEX AI반도체TOP2플러스,ETF,43035.00,2.72,43430.00,-0.91,0.71,0.65,1338.57,-32.89,5,52주고가 75%↑,관찰,"피벗 43,430까지 0.9%",43473.43,40929.32,48561.64,2.00,-5.85,11.70,3.94,92.07,50.00,ETF 수급 미반영,70.80,19,825995.17
080220,제주반도체,KOSDAQ150,77800.00,1.97,82600.00,-5.81,0.52,0.58,821.55,-43.62,5,52주고가 75%↑,,,77800.00,,88692.00,,,,5.31,94.52,50.00,-,70.70,0,0.00
395270,HANARO Fn K-반도체,ETF,61290.00,2.24,61740.00,-0.73,0.56,0.71,616.40,-31.79,5,52주고가 75%↑,관찰,"피벗 61,740까지 0.7%",61801.74,58231.20,68942.81,2.00,-5.78,11.55,3.88,93.70,50.00,ETF 수급 미반영,70.60,14,865224.36
089970,브이엠,KOSDAQ150,62900.00,9.97,61700.00,1.94,1.61,0.85,343.19,-48.48,4,"종가>50일선, 52주고가 75%↑",,,62900.00,,71706.00,,,,5.71,92.89,50.00,-,70.60,0,0.00
047040,대우건설,KOSPI200,17650.00,-6.66,21950.00,-19.59,1.46,0.23,1641.48,-56.26,4,"50>150일선, 52주고가 75%↑",,,17650.00,,20121.00,,,,7.69,94.93,50.00,-,70.50,0,0.00
105560,KB금융,KOSPI200,173700.00,-1.42,181700.00,-4.40,0.58,0.30,1996.29,-10.69,6,,관찰,"피벗 181,700까지 4.4%",181881.70,173985.27,197674.56,2.00,-4.34,8.68,3.03,69.67,65.00,5일 +80억 (외 -729 / 기 +810),70.30,6,1091290.20
067310,하나마이크론,KOSDAQ150,46150.00,0.44,47850.00,-3.55,0.94,0.62,704.30,-21.11,5,50>150일선,,"눌림 조건 충족, 변동성 과대(ATR 5.5%)로 제외",46150.00,,52611.00,,,,5.49,87.19,50.00,-,70.20,0,0.00
055550,신한지주,KOSPI200,110100.00,-2.39,116500.00,-5.49,0.79,0.24,1235.78,-5.49,6,,,,110100.00,,121178.57,,,,3.35,74.96,50.00,-,70.20,0,0.00
088350,한화생명,KOSPI200,5670.00,1.07,6550.00,-13.44,0.48,0.92,296.33,-25.00,6,,,,5670.00,,6463.80,,,,4.75,79.04,50.00,-,70.00,0,0.00
086790,하나금융지주,KOSPI200,133400.00,-1.77,142000.00,-6.06,0.78,0.28,1024.61,-6.39,6,,,,133400.00,,147135.71,,,,3.43,74.56,50.00,-,70.00,0,0.00
442580,PLUS 글로벌HBM반도체,ETF,108870.00,3.24,109070.00,-0.18,0.39,0.76,466.59,-29.01,5,52주고가 75%↑,관찰,"피벗 109,070까지 0.2%",109179.07,103707.28,120122.64,2.00,-5.01,10.02,3.35,93.70,50.00,ETF 수급 미반영,69.80,9,982611.63
381180,TIGER 미국필라델피아반도체나스닥,ETF,44795.00,2.58,44880.00,-0.19,0.49,1.00,632.04,-23.93,6,,관찰,"피벗 44,880까지 0.2%",44924.88,43517.56,47739.52,2.00,-3.13,6.27,2.09,78.22,50.00,ETF 수급 미반영,69.80,35,1572370.80
096530,씨젠,KOSDAQ150,33900.00,-0.88,35750.00,-5.17,0.50,0.13,105.54,-5.17,6,,,,33900.00,,37001.79,,,,3.05,77.81,50.00,-,69.70,0,0.00
139260,TIGER 200 IT,ETF,145130.00,1.76,147190.00,-1.40,0.40,0.54,330.60,-32.21,5,52주고가 75%↑,관찰,"피벗 147,190까지 1.4%",147337.19,139025.05,163961.48,2.00,-5.64,11.28,3.82,93.30,50.00,ETF 수급 미반영,69.60,6,884023.14
028050,삼성E&A,KOSPI200,49400.00,-3.70,55200.00,-10.51,1.15,0.27,872.91,-26.60,5,52주고가 75%↑,,,49400.00,,56316.00,,,,4.89,81.89,50.00,-,69.40,0,0.00
043260,성호전자,KOSDAQ150,26050.00,-3.70,28700.00,-9.23,0.95,0.38,842.24,-56.29,4,"50>150일선, 52주고가 75%↑",,,26050.00,,29697.00,,,,8.55,99.00,50.00,-,69.40,0,0.00
066570,LG전자,KOSPI200,210000.00,-2.33,225500.00,-6.87,0.51,0.33,1443.58,-52.05,5,52주고가 75%↑,,,210000.00,,236721.43,,,,4.24,90.85,50.00,-,69.40,0,0.00
005830,DB손해보험,KOSPI200,184400.00,-0.38,208000.00,-11.35,0.72,0.52,458.35,-13.83,6,,,,184400.00,,206300.00,,,,3.96,73.74,50.00,-,69.40,0,0.00
375500,DL이앤씨,KOSPI200,81000.00,-4.59,90600.00,-10.60,0.99,0.20,369.67,-24.02,5,50>150일선,,,81000.00,,92340.00,,,,5.75,83.93,50.00,-,69.30,0,0.00
084370,유진테크,KOSDAQ150,162300.00,8.06,156300.00,3.84,1.51,0.86,207.54,-29.89,4,"50>150일선, 52주고가 75%↑",,"돌파 조건 충족, 변동성 과대(ATR 6.4%)로 제외",162300.00,,185022.00,,,,6.42,90.04,50.00,-,69.10,0,0.00
390390,KODEX 미국반도체,ETF,56000.00,2.45,56495.00,-0.88,0.41,1.00,342.39,-20.06,6,,관찰,"피벗 56,495까지 0.9%",56551.49,54931.49,59791.49,2.00,-2.86,5.73,1.93,76.59,50.00,ETF 수급 미반영,68.80,30,1696544.85
295310,에이치브이엠,KOSDAQ150,62800.00,7.72,61900.00,1.45,2.15,0.81,76.15,-56.39,4,"50>150일선, 52주고가 75%↑",,"돌파 조건 충족, 변동성 과대(ATR 6.5%)로 제외",62800.00,,71592.00,,,,6.45,78.63,50.00,-,68.30,0,0.00
102110,TIGER 200,ETF,113360.00,1.05,114930.00,-1.37,1.76,0.46,13640.44,-25.59,4,"50>150일선, 52주고가 75%↑",,,113360.00,,123204.71,,,,2.89,83.11,50.00,ETF 수급 미반영,67.90,0,0.00
064760,티씨케이,KOSDAQ150,285000.00,4.20,288500.00,-1.21,0.62,0.81,171.35,-18.22,5,50>150일선,,"관찰 조건 충족, 변동성 과대(ATR 6.6%)로 제외",288788.50,,329218.89,,,,6.64,84.74,50.00,-,67.80,0,0.00
253590,네오셈,KOSDAQ150,13670.00,3.25,13510.00,1.18,6.04,0.25,80.24,-36.12,4,"50>150일선, 52주고가 75%↑",,,13670.00,,15583.80,,,,5.41,63.56,50.00,-,67.20,0,0.00
